item_name:string,description:string,price:number,header,foreign_key:number,formatted_taste:array$number,formatted_genre:array$number,formatted_allergy:array$bool,formatted_preference:array$bool,end
Lobster Red-Chili Oil Tontasku Ramen,Flavor with roast pork and pork shoulder meat/ pork belly meat/ half flavored egg &seasonal vegetables,13.95,House Specialty Ramen,1,0.394/0.63/0.158/0.63/0.158,1/0/0/0,true/false/true,true/false/false,end
Seafood Combo Maze Soba,Thick noodle without soup.,11,Maze Soba,1,0.265/0.795/0.265/0.397/0.265,1/0/0/0,true/false/true,true/false/false,end
Spicy Kimchi and Beef Fried Rice,Served with shredded cabbage/ green onion and onion.,9.5,Special Fried Rice Dishes,1,0.167/0.5/0.5/0.667/0.167,1/0/0/0,false/false/false,false/false/false,end
Unagi Fried Rice with Teriyaki Sauce,Served with egg/ shredded cabbage/ green onion and onion.,14.95,Special Fried Rice Dishes,1,0.25/0.75/0.25/0.25/0.5,1/0/0/0,true/false/false,false/false/false,end
Teriyaki Chicken Fried Rice,Served with shredded cabbage/ green onion and onion.,9.25,Special Fried Rice Dishes,1,0.265/0.795/0.265/0.397/0.265,1/0/0/0,true/false/true,true/false/false,end
Unagi Don,Special rice bowl.,13.95,Donburi,1,0.167/0.5/0.5/0.667/0.167,1/0/0/0,false/false/false,false/false/false,end
Fettuccine Alfredo,(Vegetarian),17,Pasta,2,0.277/0.832/0.277/0.277/0.277,0/0/1/0,false/false/false,true/true/false,end
Salsicce con patate,Oven cooked Italian sausages with rosemary-garlic roasted potatoes,17,Entre,2,0.209/0.834/0.209/0.417/0.209,0/0/1/0,false/false/false,true/false/false,end
Patate Pizza,Thinly sliced potatoes/ mozzarella/ garlic and rosemary (NO tomato sauce/ Vegetarian).,19,Pizza Romana,2,0.224/0.894/0.224/0.224/0.224,0/0/1/0,false/false/false,true/false/true,end
Focaccia Bianca,Nice and crunchy topped up with salt/ extra virgin olive oil and fresh rosemary.,12,Pizza Romana,2,0.224/0.894/0.224/0.224/0.224,0/0/1/0,false/false/false,true/false/true,end
Hamburger,niman ranch natural beef,8.45,Served With Fries And Mixed Greens,3,0.224/0.894/0.224/0.224/0.224,0/1/0/0,false/false/false,true/false/false,end
Veggie Burger,relish/ tomato/ onions and pickles,8.45,Served With Fries And Mixed Greens,3,0.277/0.832/0.277/0.277/0.277,0/1/0/0,false/false/false,true/false/true,end
Philly Cheesesteak,balsamic or ranch dressing,9.45,Served With Fries And Mixed Greens,3,0.224/0.894/0.224/0.224/0.224,0/1/0/0,false/false/false,true/true/false,end
Grilled Chicken Breast,with cheese,9.45,Served With Fries And Mixed Greens,3,0.277/0.832/0.277/0.277/0.277,0/1/0/0,false/false/false,false/false/false,end
Super Quesadilla,Sauteed shrimp/ bell pepper/ onion and salsa fresca.,8.95,Quesadillas,4,0.189/0.756/0.189/0.567/0.189,0/0/0/1,false/false/false,true/true/false,end
