item_name,description,price,header,menu_id
Aguas Frescas,Natural drinks.,2,Beverages,1
Cheese Quesadilla,Meat and salsa fresca.,5.25,Quesadillas,1
Regular Quesadilla,"Meat, cheese, salsa fresca, lettuce, guacamole and sour cream.",6.75,Quesadillas,1
Super Quesadilla,"Sauteed shrimp, bell pepper, onion and salsa fresca.",8.95,Quesadillas,1
Regular Taco Salad,"Meat, rice, beans, salsa fresca, cheese, lettuce, guacamole and sour cream.",9.95,Taco Salad,1
Shrimp Taco Salad,"Shrimp, rice, beans, salsa fresca, cheese, lettuce, guacamole and sour cream.",10.95,Taco Salad,1
Regular Burrito,"Meat, rice, beans, salsa fresca and cheese.",8.25,Burritos,1
Super Burrito,"Meat, rice, beans, salsa fresca, cheese, guacamole and sour cream.",9.25,Burritos,1
Regular Shrimp Burrito,"Sauteed shrimp, bell peppers, onion, beans, rice, salsa fresca and cheese.",9.25,Burritos,1
Super Shrimp Burrito,"Shrimp, rice, beans, salsa fresca, cheese, guacamole and sour cream.",10.25,Burritos,1
Regular Veggie Burrito,Vegetarian.,8.25,Burritos,1
Super Veggie Burrito,"Grilled steak with grilled shrimp, rice, beans, salsa fresca",9.25,Burritos,1
Regular Surf n Turf,"Grilled steak, cheese, fries, salsa fresca and guacamole.",9.95,Burritos,1
Super Surf n Turf,"2 eggs, meat, beans, cheese, green salsa",10.5,Burritos,1
California Burrito,"Meat, beans, rice and cheese.",9.25,Burritos,1
Regular Taco,"Meat, onion, cilantro and green salsa.",4.95,Tacos,1
Super Taco,"Meat, onion, cilantro and green salsa, cheese, guacamole and sour cream.",5.5,Tacos,1
Shrimp Taco,"Shrimp, onion, cilantro and green salsa.",5.95,Tacos,1
Super Shrimp Taco,"Shrimp, onion & cilantro, green salsa, cheese, guacamole, sourban cream",6.5,Tacos,1
Regular Nacho,"Beans, cheese and salsa fresca.",6.95,Nachos,1
Regular Nacho with Meat,"Beans, cheese and salsa fresca and meat.",7.95,Nachos,1
Super Nacho,"Meat, beans, cheese, salsa fresca, guacamole and sour cream.",9.5,Nachos,1
Regular Nacho with Grilled Shrimp,"Beans, cheese and salsa fresca and grilled shrimp.",8.95,Nachos,1
Ha Tien Special Extra Large Combo Noodle Soup,"Substitute with satay beef broth, spicy beef broth or curry broth for an additional charge.",19.25,Pho Beef Noodle Soup,2
Combo Beef Noodle Soup,"Substitute with satay beef broth, spicy beef broth or curry broth for an additional charge.",16.75,Pho Beef Noodle Soup,2
Rare Beef,"Substitute with satay beef broth, spicy beef broth or curry broth for an additional charge.",16.75,Pho Beef Noodle Soup,2
